Interface IP,Interface ID,Sequence Number,Latency
106.101.130.104,1,5,0.0535309314727783
106.101.130.104,1,4,0.0544459819793701
106.101.130.104,1,3,0.0554308891296386
106.101.130.104,1,2,0.0562329292297363
106.101.130.104,1,1,0.0569453239440918
106.101.130.104,1,0,0.0577545166015625
106.101.130.104,1,41,0.0797045230865478
106.101.130.104,1,40,0.0804393291473388
106.101.130.104,1,39,0.0807573795318603
106.101.130.104,1,38,0.0811452865600586
106.101.130.104,1,42,0.0553705692291259
106.101.130.104,1,47,0.0552561283111572
106.101.130.104,1,46,0.0559885501861572
106.101.130.104,1,45,0.0563204288482666
106.101.130.104,1,44,0.0568337440490722
106.101.130.104,1,43,0.0573463439941406
106.101.130.104,1,53,0.0526397228240966
106.101.130.104,1,52,0.0536305904388427
106.101.130.104,1,51,0.0540862083435058
106.101.130.104,1,50,0.0546836853027343
106.101.130.104,1,49,0.0552339553833007
106.101.130.104,1,48,0.056042194366455
106.101.130.104,1,59,0.0509557723999023
106.101.130.104,1,58,0.0517234802246093
106.101.130.104,1,57,0.0520386695861816
106.101.130.104,1,56,0.0524573326110839
106.101.130.104,1,55,0.0527400970458984
106.101.130.104,1,719,0.0519685745239257
106.101.130.104,1,718,0.0526719093322753
106.101.130.104,1,717,0.0528357028961181
106.101.130.104,1,716,0.053490400314331
106.101.130.104,1,724,0.0506596565246582
106.101.130.104,1,723,0.0508935451507568
106.101.130.104,1,722,0.0515344142913818
106.101.130.104,1,721,0.0519309043884277
106.101.130.104,1,720,0.0522694587707519
106.101.130.104,1,9317,0.055525779724121
106.101.130.104,1,9312,0.0564634799957275
106.101.130.104,1,9316,0.0565252304077148
106.101.130.104,1,9315,0.0569090843200683
106.101.130.104,1,9314,0.05721116065979
106.101.130.104,1,9313,0.0574324131011962
106.101.130.104,1,13245,0.0514161586761474
106.101.130.104,1,13246,0.0514664649963378
106.101.130.104,1,14069,0.0537159442901611
106.101.130.104,1,14064,0.0570490360260009
106.101.130.104,1,14066,0.0596132278442382
106.101.130.104,1,14067,0.059793472290039
106.101.130.104,1,14065,0.0603854656219482
106.101.130.104,1,14068,0.0609219074249267
106.101.130.104,1,18845,0.0677888393402099
106.101.130.104,1,18844,0.0685741901397705
106.101.130.104,1,18843,0.0688700675964355
106.101.130.104,1,18842,0.0695264339447021
106.101.130.104,1,18841,0.0698349475860595
106.101.130.104,1,19625,0.0591330528259277
106.101.130.104,1,19623,0.0601165294647216
106.101.130.104,1,19622,0.0606410503387451
106.101.130.104,1,19621,0.0611817836761474
106.101.130.104,1,19620,0.0615603923797607
106.101.130.104,1,19624,0.0608077049255371
106.101.130.104,1,21401,0.0680747032165527
106.101.130.104,1,21400,0.0689976215362548
106.101.130.104,1,21399,0.0701642036437988
106.101.130.104,1,21398,0.070683479309082
106.101.130.104,1,21397,0.0712196826934814
106.101.130.104,1,21396,0.071796178817749
106.101.130.104,1,24532,0.0707464218139648
106.101.130.104,1,32843,0.0615348815917968
106.101.130.104,1,32840,0.0627863407135009
106.101.130.104,1,32839,0.0633373260498046
106.101.130.104,1,32838,0.0637094974517822
106.101.130.104,1,32842,0.063047170639038
106.101.130.104,1,32841,0.0634880065917968
106.101.130.104,1,33064,0.0506799221038818
106.101.130.104,1,33063,0.0512557029724121
106.101.130.104,1,33062,0.0518829822540283
106.101.130.104,1,33061,0.0526037216186523
106.101.130.104,1,36462,0.0517830848693847
106.101.130.104,1,36467,0.0750520229339599
106.101.130.104,1,36466,0.075979471206665
106.101.130.104,1,36465,0.0763313770294189
106.101.130.104,1,36464,0.0766756534576416
106.101.130.104,1,36463,0.0771212577819824
106.101.130.104,1,36470,0.0591230392456054
106.101.130.104,1,36469,0.0595223903656005
106.101.130.104,1,36472,0.059511661529541
106.101.130.104,1,36471,0.0598382949829101
106.101.130.104,1,36474,0.0502746105194091
106.101.130.104,1,36479,0.0514318943023681
106.101.130.104,1,36475,0.0524637699127197
106.101.130.104,1,36478,0.0599074363708496
106.101.130.104,1,36477,0.0600559711456298
106.101.130.104,1,36476,0.0606923103332519
106.101.130.104,1,38562,0.1058497428894043
106.101.130.104,1,38563,0.1085531711578369
106.101.130.104,1,38564,0.108750581741333
106.101.130.104,1,38573,0.0762474536895752
106.101.130.104,1,38568,0.0772185325622558
106.101.130.104,1,38566,0.1110310554504394
106.101.130.104,1,38565,0.1114900112152099
106.101.130.104,1,38572,0.078465461730957
106.101.130.104,1,38571,0.078920841217041
106.101.130.104,1,38570,0.0792279243469238
106.101.130.104,1,38569,0.0796875953674316
106.101.130.104,1,39602,0.0503489971160888
106.101.130.104,1,39601,0.0509607791900634
106.101.130.104,1,39604,0.05049729347229
106.101.130.104,1,42511,0.0501589775085449
106.101.130.104,1,44845,0.0510218143463134
106.101.130.104,1,44848,0.0505783557891845
106.101.130.104,1,44847,0.0510578155517578
106.101.130.104,1,44846,0.0514659881591796
106.101.130.104,1,46993,0.0506284236907959
106.101.130.104,1,46992,0.0512106418609619
106.101.130.104,1,46996,0.0502510070800781
106.101.130.104,1,46995,0.0506579875946044
106.101.130.104,1,46994,0.0511913299560546
